dependent,domain,age,beta_alcohol,se_beta,cohort_new
Test_1,Language,7,-0.011,0.163,Study_1
Test_2,Motor,6,-0.991,0.278,Study_2
Test_3,Language,5,-0.356,0.136,Study_3
Test_4,Language,5,-1.507,0.199,Study_2
Test_5,Cognitive,5,-0.125,0.142,Study_4
Test_6,Language,5,1.649,0.204,Study_5
Test_7,Language,6,-0.651,0.132,Study_3
Test_8,Motor,7,0.892,0.284,Study_1
Test_9,Language,5,-0.204,0.299,Study_2
Test_10,Motor,7,-0.028,0.195,Study_5
Test_11,Language,5,1.284,0.162,Study_4
Test_12,Motor,5,-1.08,0.201,Study_4
Test_13,Cognitive,6,-0.393,0.156,Study_4
Test_14,Motor,5,0.625,0.253,Study_6
Test_15,Language,6,-1.705,0.122,Study_6
Test_16,Motor,5,-0.318,0.202,Study_2
Test_17,Cognitive,5,-0.508,0.282,Study_4
Test_18,Language,5,0.747,0.144,Study_1
Test_19,Cognitive,7,-1.302,0.173,Study_3
Test_20,Motor,6,0.121,0.271,Study_1
